content,a,b,c,d,correct_option
Which act is referred to as the Montagu-Chelmsford Reforms?,Government of India Act 1919,Indian Councils Act 1909,Government of India Act 1935,Indian Independence Act 1947,A
The Salt Act of 1882 imposed a monopoly on salt production and sales by which authority?,British colonial government,Indian National Congress,Local princely states,East India Company,A
The Indian Independence Act 1947 provided for,partition of British India into India and Pakistan,introduction of provincial autonomy,establishment of the Simon Commission,abolition of the salt tax,A
"In a parallelogram, if one side is 12 cm and the adjacent side is 9 cm with an included angle of 60 degrees, what is the area of the parallelogram?",93.53 cm²,54 cm²,108 cm²,62.35 cm²,B
What is the value of \(\sin^2\theta + \cos^2\theta\)?,1,0,\(\tan\theta\),\(\cot\theta\),A
"If \(\tan\theta = \frac{3}{4}\), what is the value of \(\sec^2\theta - \tan^2\theta\)?",1,\(\frac{25}{16}\),\(\frac{9}{16}\),\(\frac{7}{4}\),A
What is the simplified form of \(1 + \tan^2\theta\)?,\(\sec^2\theta\),\(\csc^2\theta\),\(\cot^2\theta\),\(\sin^2\theta\),A
Which of the following is the identity for \(\sin^2\theta - \cos^2\theta\)?,\(-\cos 2\theta\),\(\cos 2\theta\),\(\sin 2\theta\),\(-\sin 2\theta\),A
The expression \(\frac{1 - \cos 2\theta}{\sin 2\theta}\) is equal to which of the following?,\(\tan\theta\),\(\cot\theta\),\(\sec\theta\),\(\csc\theta\),A
What is the value of \(\cot^2\theta + 1\)?,\(\csc^2\theta\),\(\sec^2\theta\),\(\tan^2\theta\),\(1\),A
Which identity correctly expresses \(\tan(\alpha + \beta)\)?,\(\frac{\tan\alpha + \tan\beta}{1 - \tan\alpha \tan\beta}\),\(\tan\alpha + \tan\beta\),\(\frac{\tan\alpha - \tan\beta}{1 + \tan\alpha \tan\beta}\),\(\frac{\tan\alpha \tan\beta}{1 - \tan\alpha - \tan\beta}\),A
What is the main objective of the World Trade Organization?,To facilitate smooth international trade by reducing tariffs and trade barriers,To regulate global financial markets,To provide loans to developing countries,To promote human rights worldwide,A
Which of the following is NOT a principle of the WTO?,Protectionism,Most-Favoured-Nation (MFN),Transparency,Reciprocity,A
Which of the following countries was a founding member of the WTO?,India,South Sudan,East Timor,Kosovo,A
What does the term 'Most-Favoured-Nation' (MFN) mean in WTO context?,A country must apply the same trade terms to all WTO members,A country can favor one nation over others in trade,A nation receives special aid from the WTO,A country can exempt itself from WTO rules,A
Which sector is NOT covered under the WTO agreements?,Services and intellectual property,Agriculture,Military equipment trade,Manufactured goods,C
"Pointing to a woman, Rahul said, ""She is the daughter of my grandfather's only son."" How is the woman related to Rahul?",Sister,Cousin,Mother,Aunt,A
"If A is the sister of B and B is the mother of C, how is A related to C?",Mother,Aunt,Sister,Cousin,B
"A man said to a woman, ""Your mother's brother is my father."" How is the woman related to the man?",Sister,Daughter,Niece,Cousin,D
"Pointing to a boy, a woman said, ""He is the son of my only daughter."" How is the woman related to the boy?",Mother,Grandmother,Aunt,Sister,B
"If P is the brother of Q and Q is the father of R, what is the relation of P to R?",Father,Uncle,Brother,Grandfather,B
"A man points to a boy and says, ""He is the son of my wife's mother."" How is the man related to the boy?",Father,Grandfather,Uncle,Brother,C
"Pointing to a girl, a man says, ""She is the daughter of my wife's only brother."" How is the girl related to the man?",Daughter,Niece,Sister,Cousin,B
"If X is the father of Y and Y is the mother of Z, what is X's relation to Z?",Grandfather,Uncle,Father,Brother,A
A woman is the mother of my father’s only daughter. How is the woman related to me?,Mother,Grandmother,Sister,Aunt,A
"Pointing to a man, a woman said, ""He is the husband of my mother's only daughter."" How is the man related to the woman?",Brother,Father,Brother-in-law,Husband,D
What is the opposite of 'Victory'?,Defeat,Success,Triumph,Win,A
"Given that -2 < x ≤ 4, which of the following inequalities is true?",x + 3 > 1,x - 5 > 0,2x < -4,x² < 4,A
Select the antonym of the word 'Complex'.,Simple,Difficult,Complicated,Intricate,A
Find the antonym of 'Permanent'.,Temporary,Endless,Eternal,Infinite,A
Choose the opposite of 'Benevolent'.,Malevolent,Kind,Generous,Charitable,A
Select the antonym of 'Explicit'.,Implicit,Clear,Obvious,Plain,A
Find the antonym of 'Vigorous'.,Weak,Strong,Energetic,Robust,A
Choose the opposite of 'Optimistic'.,Pessimistic,Hopeful,Positive,Confident,A
What is the mirror image of the word 'MOM' when reflected in a vertical mirror placed on its left side?,MOM,WOW,MOW,Non-symmetrical reflection,A
"If a line graph shows the monthly sales of a company from January to June, and the sales in March are 20% higher than in February, what was the percentage change in sales from January to March if February sales were 1000 units and January sales were 900 units?",33.3%,20%,22.2%,25%,C
A line graph shows the temperature changes over a week. On which day does the graph show the steepest increase in temperature?,From Monday to Tuesday,From Wednesday to Thursday,From Thursday to Friday,From Saturday to Sunday,B
"Given a line graph depicting the population growth of a city over 5 years, if the graph is a straight line, what does this indicate about the population growth?",Population is increasing at a constant rate,Population is decreasing,Population growth is exponential,Population remains constant,A
"A line graph shows the monthly expenditure of a household for six months. If the highest expenditure was in May and the lowest in February, what kind of graph slope will be observed from February to May?",Positive slope,Negative slope,Zero slope,Undefined slope,A
"If a line graph represents the speed of a vehicle over time and the line is horizontal for a period, what does this indicate about the vehicle's speed during that time?",The vehicle is accelerating,The vehicle is moving at constant speed,The vehicle is decelerating,The vehicle is stationary,B
"From a line graph showing the production of a factory over 12 months, the production in June is 25% less than that in May. If production in May was 800 units, what is the production in June?",600 units,625 units,700 units,550 units,B
"A line graph compares the sales of two products over 5 months. If the lines intersect in the third month, what does this imply?",Sales of both products were equal in the third month,Product 1 sales were higher than Product 2 in the third month,Product 2 sales were consistently higher,Sales of both products were decreasing,A
"In a line graph showing the monthly rainfall over a year, the line drops to the lowest point in December. What does this indicate about rainfall in December?",No rainfall or the least rainfall occurred,Maximum rainfall occurred,Rainfall remained constant,Rainfall was unpredictable,A
"If the slope of a line graph representing profit over months is negative, what can be inferred about the company's profit?",Profit is increasing,Profit is decreasing,Profit remains the same,Profit is zero,B
"A line graph shows the number of visitors to a park during the week. If the line rises sharply from Wednesday to Thursday and then levels off on Friday, what does this indicate about visitor numbers?",Visitors increased sharply on Thursday and then remained constant on Friday,Visitors decreased on Thursday and increased on Friday,Visitors remained constant all three days,Visitors decreased sharply on Thursday,A
Which of the following is the correct mirror image of the given figure when a vertical mirror is placed to its left side?,Image with reversed left-right orientation,Image with reversed top-bottom orientation,Image rotated 180 degrees,Image unchanged,A
Identify the mirror image of the letter 'R' when reflected in a horizontal mirror placed below it.,R flipped vertically,R flipped horizontally,R rotated 90 degrees clockwise,R remains the same,A
"If a figure is reflected in a mirror placed to its right, which transformation best describes the resulting image?",Left-right reversal,Top-bottom reversal,Diagonal reversal,No change,A
A complex figure is shown. Which of the following represents its mirror image when reflected along a horizontal axis?,Image flipped upside down,Image flipped left to right,Image rotated 90 degrees,Image unchanged,A
What is the mirror image of the number '123' when reflected in a vertical mirror placed on its right side?,321,123,1 2 3 reversed as mirror image,Image not recognizable,C
Which option shows the mirror image of the given arrow symbol when reflected in a mirror placed below it?,Arrow pointed upwards,Arrow pointed downwards,Arrow pointed leftwards,Arrow pointed rightwards,A
The letter 'K' is placed in front of a vertical mirror. Which image represents its mirror image correctly?,Letter 'K' reversed left to right,Letter 'K' reversed top to bottom,Letter 'K' rotated 180 degrees,Letter 'K' unchanged,A
